Assuming 9 as type relation
Loading files... 
  Starting train.txt
  Finished train.txt, still running: 0
Loaded 272115 facts in 2.61 s using -48 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
Filtering on standard confidence with minimum threshold 0.7
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  /influence/influence_node/peers./influence/peer_relationship/peers  ?a   => ?a  /influence/influence_node/peers./influence/peer_relationship/peers  ?b	0.78313253	0.78313253	0.860927152	130	166	151	-2
?b  /education/field_of_study/students_majoring./education/education/major_field_of_study  ?a   => ?a  /education/field_of_study/students_majoring./education/education/major_field_of_study  ?b	0.822157434	0.822157434	0.826979472	282	343	341	-1
?b  /people/person/sibling_s./people/sibling_relationship/sibling  ?a   => ?a  /people/person/sibling_s./people/sibling_relationship/sibling  ?b	0.824427481	0.824427481	0.939130435	108	131	115	-2
?b  /base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months  ?a   => ?a  /base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months  ?b	0.833333333	0.833333333	0.833333333	90	108	108	-1
?a  /sports/sports_team/roster./american_football/football_roster_position/position  ?b   => ?a  /american_football/football_team/current_roster./sports/sports_team_roster/position  ?b	0.820244328	0.774299835	0.776859504	470	607	605	-1
?b  /sports/sports_position/players./sports/sports_team_roster/position  ?a   => ?a  /sports/sports_position/players./sports/sports_team_roster/position  ?b	0.848	0.848	0.848	106	125	125	-1
?a  /sports/sports_position/players./american_football/football_historical_roster_position/position_s  ?b   => ?a  /sports/sports_position/players./sports/sports_team_roster/position  ?b	0.68	0.833333333	0.833333333	85	102	102	-1
?b  /sports/sports_position/players./american_football/football_historical_roster_position/position_s  ?a   => ?a  /sports/sports_position/players./sports/sports_team_roster/position  ?b	0.688	0.843137255	0.843137255	86	102	102	-1
?b  /award/award_nominated_work/award_nominations./award/award_nomination/nominated_for  ?a   => ?a  /award/award_nominated_work/award_nominations./award/award_nomination/nominated_for  ?b	0.825662483	0.825662483	0.850574713	592	717	696	-1
?b  /music/performance_role/track_performances./music/track_contribution/role  ?a   => ?a  /music/performance_role/track_performances./music/track_contribution/role  ?b	0.808432148	0.808432148	0.808432148	3068	3795	3795	-2
?b  /base/popstra/celebrity/canoodled./base/popstra/canoodled/participant  ?a   => ?a  /base/popstra/celebrity/canoodled./base/popstra/canoodled/participant  ?b	0.819599109	0.819599109	0.891041162	368	449	413	-2
?b  /government/legislative_session/members./government/government_position_held/legislative_sessions  ?a   => ?a  /government/legislative_session/members./government/government_position_held/legislative_sessions  ?b	0.820638821	0.820638821	0.820638821	668	814	814	-1
?b  /sports/sports_team/roster./american_football/football_historical_roster_position/position_s  ?a   => ?a  /sports/sports_position/players./sports/sports_team_roster/team  ?b	0.145142857	0.816720257	0.819354839	508	622	620	-2
?b  /sports/sports_team/roster./american_football/football_roster_position/position  ?a   => ?a  /sports/sports_position/players./sports/sports_team_roster/team  ?b	0.139142857	0.802306425	0.803630363	487	607	606	-2
?b  /sports/sports_team/roster./baseball/baseball_roster_position/position  ?a   => ?a  /sports/sports_position/players./sports/sports_team_roster/team  ?b	0.042	0.803278689	0.803278689	147	183	183	-2
?b  /american_football/football_team/current_roster./sports/sports_team_roster/position  ?a   => ?a  /sports/sports_position/players./sports/sports_team_roster/team  ?b	0.134285714	0.820244328	0.820244328	470	573	573	-2
?b  /ice_hockey/hockey_team/current_roster./sports/sports_team_roster/position  ?a   => ?a  /sports/sports_position/players./sports/sports_team_roster/team  ?b	0.025714286	0.743801653	0.743801653	90	121	121	-2
?b  /sports/sports_team/roster./basketball/basketball_roster_position/position  ?a   => ?a  /sports/sports_position/players./sports/sports_team_roster/team  ?b	0.041428571	0.814606742	0.823863636	145	178	176	-2
?b  /soccer/football_team/current_roster./soccer/football_roster_position/position  ?a   => ?a  /sports/sports_position/players./sports/sports_team_roster/team  ?b	0.526857143	0.814128035	0.816290394	1844	2265	2259	-2
?b  /soccer/football_team/current_roster./sports/sports_team_roster/position  ?a   => ?a  /sports/sports_position/players./sports/sports_team_roster/team  ?b	0.522285714	0.808134394	0.809924679	1828	2262	2257	-2
?b  /location/hud_county_place/county  ?a   => ?a  /location/location/contains  ?b	0.041530475	0.708196721	0.722408027	216	305	299	-2
?b  /base/biblioness/bibs_location/state  ?a   => ?a  /location/location/contains  ?b	0.047106326	0.816666667	0.833333333	245	300	294	-2
?b  /location/administrative_division/country  ?a   => ?a  /location/location/contains  ?b	0.061526629	0.829015544	0.903954802	320	386	354	-2
?b  /location/administrative_division/first_level_division_of  ?a   => ?a  /location/location/contains  ?b	0.023841569	0.879432624	0.918518519	124	141	135	-2
?b  /location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division  ?a   => ?a  /location/location/contains  ?b	0.041338204	0.726351351	0.751748252	215	296	286	-2
?a  /base/locations/continents/countries_within  ?b   => ?a  /location/location/contains  ?b	0.018073447	0.752	0.824561404	94	125	114	-2
?b  /base/biblioness/bibs_location/country  ?a   => ?a  /location/location/contains  ?b	0.088636801	0.755737705	0.789383562	461	610	584	-2
?a  /base/aareas/schema/administrative_area/capital  ?b   => ?a  /location/location/contains  ?b	0.020765237	0.788321168	0.818181818	108	137	132	-2
?b  /base/aareas/schema/administrative_area/capital  ?a   => ?a  /location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division  ?b	0.35472973	0.766423358	1	105	137	105	-2
?a  /olympics/olympic_games/sports  ?b   => ?a  /user/jg/default_domain/olympic_games/sports  ?b	0.831325301	0.727409639	0.755868545	483	664	639	-2
?a  /soccer/football_team/current_roster./soccer/football_roster_position/position  ?b   => ?a  /soccer/football_team/current_roster./sports/sports_team_roster/position  ?b	0.810344828	0.809271523	0.810703229	1833	2265	2261	-1
?a  /location/statistical_region/gni_per_capita_in_ppp_dollars./measurement_unit/dated_money_value/currency  ?b   => ?a  /location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency  ?b	0.74375	0.798657718	1	119	149	119	-1
?b  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?a   => ?a  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?b	0.809361287	0.809361287	0.824639841	1660	2051	2013	-1
?a  /location/administrative_division/first_level_division_of  ?b   => ?a  /base/aareas/schema/administrative_area/administrative_parent  ?b	0.179620035	0.737588652	1	104	141	104	-1
?b  /award/award_winning_work/awards_won./award/award_honor/honored_for  ?a   => ?a  /award/award_winning_work/awards_won./award/award_honor/honored_for  ?b	0.825263158	0.825263158	0.855895197	392	475	458	-2
?b  /base/popstra/celebrity/friendship./base/popstra/friendship/participant  ?a   => ?a  /base/popstra/celebrity/friendship./base/popstra/friendship/participant  ?b	0.804765056	0.804765056	0.830601093	1216	1511	1464	-2
?a  /location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency  ?b   => ?a  /location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency  ?b	0.673684211	0.8	1	128	160	128	-1
?a  /location/statistical_region/gni_per_capita_in_ppp_dollars./measurement_unit/dated_money_value/currency  ?b   => ?a  /location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency  ?b	0.610526316	0.77852349	1	116	149	116	-1
?a  /user/jg/default_domain/olympic_games/sports  ?b   => ?a  /olympics/olympic_games/sports  ?b	0.727409639	0.831325301	0.834196891	483	581	579	-2
?a  /soccer/football_team/current_roster./sports/sports_team_roster/position  ?b   => ?a  /soccer/football_team/current_roster./soccer/football_roster_position/position  ?b	0.809271523	0.810344828	0.8125	1833	2262	2256	-1
?a  /business/business_operation/operating_income./measurement_unit/dated_money_value/currency  ?b   => ?a  /business/business_operation/assets./measurement_unit/dated_money_value/currency  ?b	0.790055249	0.722222222	1	143	198	143	-1
?b  /music/performance_role/regular_performances./music/group_membership/role  ?a   => ?a  /music/performance_role/regular_performances./music/group_membership/role  ?b	0.8173258	0.8173258	0.8173258	2170	2655	2655	-2
