Assuming 9 as type relation
Loading files... 
  Starting train.txt
  Finished train.txt, still running: 0
Loaded 272115 facts in 2.52 s using -48 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.7
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  /education/field_of_study/students_majoring./education/education/major_field_of_study  ?a   => ?a  /education/field_of_study/students_majoring./education/education/major_field_of_study  ?b	0.822157434	0.822157434	0.826979472	282	343	341	-1
?b  /influence/influence_node/peers./influence/peer_relationship/peers  ?a   => ?a  /influence/influence_node/peers./influence/peer_relationship/peers  ?b	0.78313253	0.78313253	0.860927152	130	166	151	-2
?b  /people/person/sibling_s./people/sibling_relationship/sibling  ?a   => ?a  /people/person/sibling_s./people/sibling_relationship/sibling  ?b	0.824427481	0.824427481	0.939130435	108	131	115	-2
?a  /location/administrative_division/first_level_division_of  ?b   => ?a  /base/biblioness/bibs_location/country  ?b	0.104918033	0.453900709	0.96969697	64	141	66	-1
?a  /location/administrative_division/country  ?b   => ?a  /base/biblioness/bibs_location/country  ?b	0.21147541	0.334196891	0.883561644	129	386	146	-1
?b  /organization/organization/headquarters./location/mailing_address/citytown  ?a   => ?a  /sports/sports_team_location/teams  ?b	0.01510574	0.005868545	1	5	852	5	-2
?b  /base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months  ?a   => ?a  /base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months  ?b	0.833333333	0.833333333	0.833333333	90	108	108	-1
?a  /people/person/nationality  ?b   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.471698113	0.011913271	0.78125	50	4197	64	-1
?b  /sports/sports_position/players./sports/sports_team_roster/team  ?a   => ?a  /sports/sports_team/roster./basketball/basketball_roster_position/position  ?b	0.814606742	0.041428571	0.828571429	145	3500	175	-1
?a  /sports/sports_position/players./american_football/football_historical_roster_position/position_s  ?b   => ?a  /sports/sports_position/players./sports/sports_team_roster/position  ?b	0.68	0.833333333	0.833333333	85	102	102	-1
?b  /sports/sports_position/players./sports/sports_team_roster/position  ?a   => ?a  /sports/sports_position/players./sports/sports_team_roster/position  ?b	0.848	0.848	0.848	106	125	125	-1
?b  /sports/sports_position/players./american_football/football_historical_roster_position/position_s  ?a   => ?a  /sports/sports_position/players./sports/sports_team_roster/position  ?b	0.688	0.843137255	0.843137255	86	102	102	-1
?a  /sports/sports_team/roster./american_football/football_roster_position/position  ?b   => ?a  /american_football/football_team/current_roster./sports/sports_team_roster/position  ?b	0.820244328	0.774299835	0.776859504	470	607	605	-1
?b  /award/award_nominated_work/award_nominations./award/award_nomination/nominated_for  ?a   => ?a  /award/award_nominated_work/award_nominations./award/award_nomination/nominated_for  ?b	0.825662483	0.825662483	0.850574713	592	717	696	-1
?b  /sports/sports_position/players./sports/sports_team_roster/team  ?a   => ?a  /sports/sports_team/roster./baseball/baseball_roster_position/position  ?b	0.803278689	0.042	0.825842697	147	3500	178	-1
?b  /music/performance_role/track_performances./music/track_contribution/role  ?a   => ?a  /music/performance_role/track_performances./music/track_contribution/role  ?b	0.808432148	0.808432148	0.808432148	3068	3795	3795	-2
?b  /base/popstra/celebrity/canoodled./base/popstra/canoodled/participant  ?a   => ?a  /base/popstra/celebrity/canoodled./base/popstra/canoodled/participant  ?b	0.819599109	0.819599109	0.891041162	368	449	413	-2
?b  /location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division  ?a   => ?a  /base/aareas/schema/administrative_area/capital  ?b	0.766423358	0.35472973	1	105	296	105	-1
?b  /base/biblioness/bibs_location/country  ?a   => ?a  /base/aareas/schema/administrative_area/capital  ?b	0.01459854	0.003278689	1	2	610	2	-1
?a  /location/country/capital  ?b   => ?a  /base/aareas/schema/administrative_area/capital  ?b	0.02189781	0.021126761	1	3	142	3	-1
?b  /government/legislative_session/members./government/government_position_held/legislative_sessions  ?a   => ?a  /government/legislative_session/members./government/government_position_held/legislative_sessions  ?b	0.820638821	0.820638821	0.820638821	668	814	814	-1
?a  /people/person/languages  ?b   => ?a  /film/actor/dubbing_performances./film/dubbing_performance/language  ?b	0.116071429	0.01660281	0.866666667	13	783	15	-1
